"Story","Title","Result","Date","Stability","Duration (s)"
"Search travel options","Need both origin and destination to search","SUCCESS","2015-09-08T10:30:16.889-03:00","0.0","33.85"
"Search travel options","Travel by train from Berlin to Prague","FAILURE","2015-09-08T10:30:53.783-03:00","0.0","69.5"
