"Story","Title","Result","Date","Stability","Duration (s)"
"Search travel options","Need both origin and destination to search","SUCCESS","2015-09-08T14:03:57.796-03:00","0.0","37.65"
"Search travel options","Travel by train from Berlin to Prague","SUCCESS","2015-09-08T14:04:38.918-03:00","0.0","65.89"
