"Story","Title","Result","Date","Stability","Duration (s)"
"Search travel options","Need both origin and destination to search","SUCCESS","2015-09-08T15:33:42.448-03:00","0.0","36.79"
"Search travel options","Travel by train from Berlin to Prague","SUCCESS","2015-09-08T15:34:22.813-03:00","0.0","67.49"
